"source_slug","target_type","target_slug","url","anchor_text"
"aesop-vs-diptyque","home","","https://sillage.asutelu.com/","Sillage"
"aesop-vs-diptyque","category","","https://sillage.asutelu.com/guides.html","香水コラム"
"aesop-vs-diptyque","category","","https://sillage.asutelu.com/guides.html#category-comparison","ブランド・商品比較の記事一覧"
"aesop-vs-diptyque","filter","","https://sillage.asutelu.com/#fragrance-wheel","香調ホイールから香水を絞り込む"
"aesop-vs-diptyque","filter","","https://sillage.asutelu.com/#find-fragrances","シーン・季節の条件から香水を絞り込む"
"aesop-vs-diptyque","brand","aesop","https://sillage.asutelu.com/brand-aesop.html","Aesop"
"aesop-vs-diptyque","brand","diptyque","https://sillage.asutelu.com/brand-diptyque.html","Diptyque"
"aesop-vs-diptyque","brand","le-labo","https://sillage.asutelu.com/brand-le-labo.html","Le Labo"
"aesop-vs-diptyque","brand","byredo","https://sillage.asutelu.com/brand-byredo.html","Byredo"
"aesop-vs-diptyque","product","aesop-1","https://sillage.asutelu.com/items/aesop-1","タシットの香りを見る →"
"aesop-vs-diptyque","product","diptyque-1","https://sillage.asutelu.com/items/diptyque-1","タムダオの香りを見る →"
"aesop-vs-diptyque","product","le-labo-2","https://sillage.asutelu.com/items/le-labo-2","アナザー 13の香りを見る →"
"aesop-vs-diptyque","product","byredo-1","https://sillage.asutelu.com/items/byredo-1","ジプシー ウォーターの香りを見る →"
"aesop-vs-diptyque","article","chanel-vs-dior","https://sillage.asutelu.com/columns/chanel-vs-dior","シャネルとディオール、パリ二大メゾンの違い"
"aesop-vs-diptyque","article","lelabo-vs-jomalone","https://sillage.asutelu.com/columns/lelabo-vs-jomalone","ル ラボとジョー マローン、現代ニッチの2大スター"
"aesop-vs-diptyque","article","tomford-vs-creed","https://sillage.asutelu.com/columns/tomford-vs-creed","トム フォードとクリード、高級メンズの頂点を比較"
"aesop-vs-diptyque","article","margiela-vs-byredo","https://sillage.asutelu.com/columns/margiela-vs-byredo","マルジェラとバイレード、モダンニッチの新世代"
"aesop-vs-diptyque","page","","https://sillage.asutelu.com/about.html#update-policy","編集方針・更新ポリシー"
"age-and-perfume","home","","https://sillage.asutelu.com/","Sillage"
"age-and-perfume","category","","https://sillage.asutelu.com/guides.html","香水コラム"
"age-and-perfume","category","","https://sillage.asutelu.com/guides.html#category-beginner","香水初心者の記事一覧"
"age-and-perfume","filter","","https://sillage.asutelu.com/#fragrance-wheel","香調ホイールから香水を絞り込む"
"age-and-perfume","filter","","https://sillage.asutelu.com/#find-fragrances","シーン・季節の条件から香水を絞り込む"
"age-and-perfume","brand","hermes","https://sillage.asutelu.com/brand-hermes.html","Hermès"
"age-and-perfume","brand","le-labo","https://sillage.asutelu.com/brand-le-labo.html","Le Labo"
