index,currentId,slug,brand,productName,currentDetailUrl,enrichedPhase,hasLegacyRakuten,hasPurchaseLinks
0,jo-malone-1,jo-malone-1,Jo Malone,ライムバジル & マンダリン,/items/jo-malone-1,phase2,true,true
1,acqua-di-parma-1,acqua-di-parma-1,Acqua di Parma,コロニア,/items/acqua-di-parma-1,phase2,true,true
2,dior-1,dior-1,Dior,オー ソバージュ,/items/dior-1,phase2,true,true
3,hermes-1,hermes-1,Hermès,オー ド パンプルムース ローズ,/items/hermes-1,phase2,false,true
4,4711-1,4711-1,4711,オーデコロン,/items/4711-1,none,true,false
5,atelier-cologne-1,atelier-cologne-1,Atelier Cologne,オランジュ サングィン,/items/atelier-cologne-1,none,false,false
6,guerlain-1,guerlain-1,Guerlain,オー インペリアル,/items/guerlain-1,none,true,false
7,muji-1,muji-1,無印良品,オードトワレ シトラス,/items/muji-1,pilot,false,true
8,dolce-gabbana-1,dolce-gabbana-1,Dolce&Gabbana,ライト ブルー プールオム,/items/dolce-gabbana-1,none,true,false
9,hermes-2,hermes-2,Hermès,オー ドランジュ ヴェルト,/items/hermes-2,none,true,false
10,dior-2,dior-2,Dior,ソヴァージュ EDT,/items/dior-2,pilot,true,true
11,ck-1,ck-1,CK,CK one,/items/ck-1,none,true,false
12,montblanc-1,montblanc-1,Montblanc,レジェンド,/items/montblanc-1,none,true,false
13,azzaro-1,azzaro-1,Azzaro,プール オム,/items/azzaro-1,none,true,false
14,chanel-1,chanel-1,Chanel,アリュール オム スポーツ,/items/chanel-1,none,true,false
15,paco-rabanne-1,paco-rabanne-1,Paco Rabanne,プール オム,/items/paco-rabanne-1,none,true,false
16,nautica-1,nautica-1,Nautica,ヴォヤージュ,/items/nautica-1,none,true,false
17,brut-1,brut-1,Brut,クラシック,/items/brut-1,none,false,false
18,guerlain-2,guerlain-2,Guerlain,ヴェチバー,/items/guerlain-2,phase2,true,true
19,ysl-1,ysl-1,YSL,Y メン オーデパルファン,/items/ysl-1,none,false,false
20,chanel-2,chanel-2,Chanel,エゴイスト プラチナム,/items/chanel-2,none,true,false
21,gucci-1,gucci-1,Gucci,ギルティ プールオム,/items/gucci-1,none,true,false
22,dior-3,dior-3,Dior,ソヴァージュ EDP,/items/dior-3,none,true,false
23,calvin-klein-1,calvin-klein-1,Calvin Klein,エタニティ フォーメン,/items/calvin-klein-1,none,true,false
24,ysl-2,ysl-2,YSL,リブレ オーデパルファン,/items/ysl-2,pilot,true,true
25,chanel-3,chanel-3,Chanel,チャンス オー タンドゥル,/items/chanel-3,none,true,false
26,dior-4,dior-4,Dior,ジャドール,/items/dior-4,phase2,true,true
27,gucci-2,gucci-2,Gucci,ブルーム,/items/gucci-2,none,true,false
28,jo-malone-2,jo-malone-2,Jo Malone,イングリッシュ ペアー & フリージア,/items/jo-malone-2,none,true,false
