slug,brand,name,category,label,declaredType,detectedType,url,formatValid,duplicateCount,status,httpStatus,finalUrl,redirectCount,expectedDomain,domainMatch,checkedAt,note
jo-malone-1,Jo Malone,ライムバジル & マンダリン,purchase,official,product,,https://www.jomalone.jp/product/25946/10101/colognes/lime-basil-mandarin-cologne,true,2,blocked,403,https://www.jomalone.jp/product/25946/10101/colognes/lime-basil-mandarin-cologne,0,www.jomalone.jp,true,2026-07-18T12:33:30.181Z,duplicate_url_across_fields
jo-malone-1,Jo Malone,ライムバジル & マンダリン,purchase,rakuten,product,product,https://hb.afl.rakuten.co.jp/hgc/g00sw7hn.k90d6e3d.g00sw7hn.k90d72dc/?pc=https%3A%2F%2Fitem.rakuten.co.jp%2Fjomalone%2F10101l00301%2F&m=http%3A%2F%2Fm.rakuten.co.jp%2Fjomalone%2Fi%2F10000012%2F&rafcid=wsc_i_is_9fdeb09f-0a42-4a33-b337-0ae38817954c,true,1,redirect,200,https://item.rakuten.co.jp/jomalone/10101l00301/?scid=af_pc_etc&sc2id=af_101_0_0&rafcid=wsc_i_is_9fdeb09f-0a42-4a33-b337-0ae38817954c,3,rakuten.co.jp,true,2026-07-18T12:33:41.102Z,
jo-malone-1,Jo Malone,ライムバジル & マンダリン,source,1:official,,,https://www.jomalone.jp/product/25946/10101/colognes/lime-basil-mandarin-cologne,true,2,blocked,403,https://www.jomalone.jp/product/25946/10101/colognes/lime-basil-mandarin-cologne,0,www.jomalone.jp,true,2026-07-18T12:33:41.609Z,duplicate_url_across_fields
acqua-di-parma-1,Acqua di Parma,コロニア,purchase,official,product,,https://www.acquadiparma.com/en/gb/colonia/COLONIAEDCRP.html,true,2,blocked,403,https://www.acquadiparma.com/en/gb/colonia/COLONIAEDCRP.html,0,www.acquadiparma.com,true,2026-07-18T12:33:42.352Z,duplicate_url_across_fields
acqua-di-parma-1,Acqua di Parma,コロニア,purchase,rakuten,product,product,https://hb.afl.rakuten.co.jp/hgc/g00pv5mn.k90d6eb3.g00pv5mn.k90d71f1/?pc=https%3A%2F%2Fitem.rakuten.co.jp%2Fkousuimonogatari%2Fadp1003%2F&m=http%3A%2F%2Fm.rakuten.co.jp%2Fkousuimonogatari%2Fi%2F10048833%2F&rafcid=wsc_i_is_9fdeb09f-0a42-4a33-b337-0ae38817954c,true,1,redirect,200,https://item.rakuten.co.jp/kousuimonogatari/adp1003/?scid=af_pc_etc&sc2id=af_101_0_0&rafcid=wsc_i_is_9fdeb09f-0a42-4a33-b337-0ae38817954c,3,rakuten.co.jp,true,2026-07-18T12:33:53.263Z,
acqua-di-parma-1,Acqua di Parma,コロニア,source,1:official,,,https://www.acquadiparma.com/en/gb/colonia/COLONIAEDCRP.html,true,2,blocked,403,https://www.acquadiparma.com/en/gb/colonia/COLONIAEDCRP.html,0,www.acquadiparma.com,true,2026-07-18T12:33:53.768Z,duplicate_url_across_fields
dior-1,Dior,オー ソバージュ,purchase,official,product,,https://www.dior.com/ja_jp/beauty/products/%E3%82%AA%E3%83%BC-%E3%82%BD%E3%83%90%E3%83%BC%E3%82%B8%E3%83%A5-%E3%82%AA%E3%83%BC%E3%83%89%E3%82%A5-%E3%83%88%E3%83%AF%E3%83%AC-Y0097001.html,true,2,blocked,403,https://www.dior.com/ja_jp/beauty/products/%E3%82%AA%E3%83%BC-%E3%82%BD%E3%83%90%E3%83%BC%E3%82%B8%E3%83%A5-%E3%82%AA%E3%83%BC%E3%83%89%E3%82%A5-%E3%83%88%E3%83%AF%E3%83%AC-Y0097001.html,0,www.dior.com,true,2026-07-18T12:33:54.291Z,duplicate_url_across_fields
dior-1,Dior,オー ソバージュ,purchase,rakuten,product,product,https://hb.afl.rakuten.co.jp/hgc/g00pu2mn.k90d68f9.g00pu2mn.k90d7381/?pc=https%3A%2F%2Fitem.rakuten.co.jp%2Fcosmelink%2Fb3348900627499%2F&m=http%3A%2F%2Fm.rakuten.co.jp%2Fcosmelink%2Fi%2F10050208%2F&rafcid=wsc_i_is_9fdeb09f-0a42-4a33-b337-0ae38817954c,true,1,redirect,200,https://item.rakuten.co.jp/cosmelink/b3348900627499/?scid=af_pc_etc&sc2id=af_101_0_0&rafcid=wsc_i_is_9fdeb09f-0a42-4a33-b337-0ae38817954c,3,rakuten.co.jp,true,2026-07-18T12:34:05.159Z,
dior-1,Dior,オー ソバージュ,source,1:official,,,https://www.dior.com/ja_jp/beauty/products/%E3%82%AA%E3%83%BC-%E3%82%BD%E3%83%90%E3%83%BC%E3%82%B8%E3%83%A5-%E3%82%AA%E3%83%BC%E3%83%89%E3%82%A5-%E3%83%88%E3%83%AF%E3%83%AC-Y0097001.html,true,2,blocked,403,https://www.dior.com/ja_jp/beauty/products/%E3%82%AA%E3%83%BC-%E3%82%BD%E3%83%90%E3%83%BC%E3%82%B8%E3%83%A5-%E3%82%AA%E3%83%BC%E3%83%89%E3%82%A5-%E3%83%88%E3%83%AF%E3%83%AC-Y0097001.html,0,www.dior.com,true,2026-07-18T12:34:05.716Z,duplicate_url_across_fields
hermes-1,Hermès,オー ド パンプルムース ローズ,purchase,official,product,,https://www.hermes.com/jp/ja/product/%E3%82%AA%E3%83%BC-%E3%83%87-%E3%82%B3%E3%83%AD%E3%83%B3-%E3%80%8A%E3%82%AA%E3%83%BC-%E3%83%89%E3%82%A5-%E3%83%91%E3%83%B3%E3%83%97%E3%83%AB%E3%83%A0%E3%82%B9-%E3%83%AD%E3%83%BC%E3%82%BA%E3%80%8B-V25602/,true,2,blocked,403,https://www.hermes.com/jp/ja/product/%E3%82%AA%E3%83%BC-%E3%83%87-%E3%82%B3%E3%83%AD%E3%83%B3-%E3%80%8A%E3%82%AA%E3%83%BC-%E3%83%89%E3%82%A5-%E3%83%91%E3%83%B3%E3%83%97%E3%83%AB%E3%83%A0%E3%82%B9-%E3%83%AD%E3%83%BC%E3%82%BA%E3%80%8B-V25602/,0,www.hermes.com,true,2026-07-18T12:34:06.318Z,duplicate_url_across_fields
