slug,field,before,after,changed,intended,reason
jo-malone-1,array-order,0,0,false,true,一致
jo-malone-1,slug,jo-malone-1,jo-malone-1,false,true,一致
jo-malone-1,brand,Jo Malone,Jo Malone,false,true,一致
jo-malone-1,productName,ライムバジル & マンダリン,ライムバジル & マンダリン,false,true,一致
jo-malone-1,detailUrl,/items/jo-malone-1,/items/jo-malone-1,false,true,一致
jo-malone-1,productContentHash,8a737309b9b3c64859f01396a637245cff9ad96832fe4aff9fb41fe85cbc45c3,8a737309b9b3c64859f01396a637245cff9ad96832fe4aff9fb41fe85cbc45c3,false,true,一致
jo-malone-1,purchaseUrls,"{""official"":""https://www.jomalone.jp/product/25946/10101/colognes/lime-basil-mandarin-cologne"",""amazon"":null,""rakuten"":""https://hb.afl.rakuten.co.jp/hgc/g00sw7hn.k90d6e3d.g00sw7hn.k90d72dc/?pc=https%3A%2F%2Fitem.rakuten.co.jp%2Fjomalone%2F10101l00301%2F&m=http%3A%2F%2Fm.rakuten.co.jp%2Fjomalone%2Fi%2F10000012%2F&rafcid=wsc_i_is_9fdeb09f-0a42-4a33-b337-0ae38817954c""}","{""official"":""https://www.jomalone.jp/product/25946/10101/colognes/lime-basil-mandarin-cologne"",""amazon"":null,""rakuten"":""https://hb.afl.rakuten.co.jp/hgc/g00sw7hn.k90d6e3d.g00sw7hn.k90d72dc/?pc=https%3A%2F%2Fitem.rakuten.co.jp%2Fjomalone%2F10101l00301%2F&m=http%3A%2F%2Fm.rakuten.co.jp%2Fjomalone%2Fi%2F10000012%2F&rafcid=wsc_i_is_9fdeb09f-0a42-4a33-b337-0ae38817954c""}",false,true,一致
jo-malone-1,sourceUrls,"[""https://www.jomalone.jp/product/25946/10101/colognes/lime-basil-mandarin-cologne""]","[""https://www.jomalone.jp/product/25946/10101/colognes/lime-basil-mandarin-cologne""]",false,true,一致
jo-malone-1,title,ライムバジル & マンダリン（Jo Malone）はどんな匂い？香調・持続・合うシーン｜Sillage,ライムバジル & マンダリン（Jo Malone）はどんな匂い？香調・持続・合うシーン｜Sillage,false,true,一致
jo-malone-1,description,Jo Malone「ライムバジル & マンダリン」の香調(トップ・ミドル・ラスト)、季節・シーン、価格帯、Sillageの見立てをまとめています。,Jo Malone「ライムバジル & マンダリン」の香調(トップ・ミドル・ラスト)、季節・シーン、価格帯、Sillageの見立てをまとめています。,false,true,一致
jo-malone-1,canonical,https://sillage.asutelu.com/items/jo-malone-1,https://sillage.asutelu.com/items/jo-malone-1,false,true,一致
jo-malone-1,h1,ライムバジル & マンダリン,ライムバジル & マンダリン,false,true,一致
jo-malone-1,relatedSlugs,"[""jo-malone-2"",""jo-malone-3"",""jo-malone-4""]","[""jo-malone-2"",""jo-malone-3"",""jo-malone-4""]",false,true,一致
acqua-di-parma-1,array-order,1,1,false,true,一致
acqua-di-parma-1,slug,acqua-di-parma-1,acqua-di-parma-1,false,true,一致
acqua-di-parma-1,brand,Acqua di Parma,Acqua di Parma,false,true,一致
acqua-di-parma-1,productName,コロニア,コロニア,false,true,一致
acqua-di-parma-1,detailUrl,/items/acqua-di-parma-1,/items/acqua-di-parma-1,false,true,一致
acqua-di-parma-1,productContentHash,233650623a0db4ed9576ab67910be9adc9af7f9f8310967be2415bdd383fddc5,233650623a0db4ed9576ab67910be9adc9af7f9f8310967be2415bdd383fddc5,false,true,一致
acqua-di-parma-1,purchaseUrls,"{""official"":""https://www.acquadiparma.com/en/gb/colonia/COLONIAEDCRP.html"",""amazon"":null,""rakuten"":""https://hb.afl.rakuten.co.jp/hgc/g00pv5mn.k90d6eb3.g00pv5mn.k90d71f1/?pc=https%3A%2F%2Fitem.rakuten.co.jp%2Fkousuimonogatari%2Fadp1003%2F&m=http%3A%2F%2Fm.rakuten.co.jp%2Fkousuimonogatari%2Fi%2F10048833%2F&rafcid=wsc_i_is_9fdeb09f-0a42-4a33-b337-0ae38817954c""}","{""official"":""https://www.acquadiparma.com/en/gb/colonia/COLONIAEDCRP.html"",""amazon"":null,""rakuten"":""https://hb.afl.rakuten.co.jp/hgc/g00pv5mn.k90d6eb3.g00pv5mn.k90d71f1/?pc=https%3A%2F%2Fitem.rakuten.co.jp%2Fkousuimonogatari%2Fadp1003%2F&m=http%3A%2F%2Fm.rakuten.co.jp%2Fkousuimonogatari%2Fi%2F10048833%2F&rafcid=wsc_i_is_9fdeb09f-0a42-4a33-b337-0ae38817954c""}",false,true,一致
acqua-di-parma-1,sourceUrls,"[""https://www.acquadiparma.com/en/gb/colonia/COLONIAEDCRP.html""]","[""https://www.acquadiparma.com/en/gb/colonia/COLONIAEDCRP.html""]",false,true,一致
acqua-di-parma-1,title,コロニア（Acqua di Parma）はどんな匂い？香調・持続・合うシーン｜Sillage,コロニア（Acqua di Parma）はどんな匂い？香調・持続・合うシーン｜Sillage,false,true,一致
acqua-di-parma-1,description,Acqua di Parma「コロニア」の香調(トップ・ミドル・ラスト)、季節・シーン、価格帯、Sillageの見立てをまとめています。,Acqua di Parma「コロニア」の香調(トップ・ミドル・ラスト)、季節・シーン、価格帯、Sillageの見立てをまとめています。,false,true,一致
acqua-di-parma-1,canonical,https://sillage.asutelu.com/items/acqua-di-parma-1,https://sillage.asutelu.com/items/acqua-di-parma-1,false,true,一致
acqua-di-parma-1,h1,コロニア,コロニア,false,true,一致
acqua-di-parma-1,relatedSlugs,"[""acqua-di-parma-2"",""jo-malone-1"",""dior-1""]","[""acqua-di-parma-2"",""jo-malone-1"",""dior-1""]",false,true,一致
dior-1,array-order,2,2,false,true,一致
dior-1,slug,dior-1,dior-1,false,true,一致
dior-1,brand,Dior,Dior,false,true,一致
dior-1,productName,オー ソバージュ,オー ソバージュ,false,true,一致
dior-1,detailUrl,/items/dior-1,/items/dior-1,false,true,一致
dior-1,productContentHash,56e0fa7aa2d47ecd29a3b582f07517949839fdbce2b4185d575a056e58730892,56e0fa7aa2d47ecd29a3b582f07517949839fdbce2b4185d575a056e58730892,false,true,一致
dior-1,purchaseUrls,"{""official"":""https://www.dior.com/ja_jp/beauty/products/%E3%82%AA%E3%83%BC-%E3%82%BD%E3%83%90%E3%83%BC%E3%82%B8%E3%83%A5-%E3%82%AA%E3%83%BC%E3%83%89%E3%82%A5-%E3%83%88%E3%83%AF%E3%83%AC-Y0097001.html"",""amazon"":null,""rakuten"":""https://hb.afl.rakuten.co.jp/hgc/g00pu2mn.k90d68f9.g00pu2mn.k90d7381/?pc=https%3A%2F%2Fitem.rakuten.co.jp%2Fcosmelink%2Fb3348900627499%2F&m=http%3A%2F%2Fm.rakuten.co.jp%2Fcosmelink%2Fi%2F10050208%2F&rafcid=wsc_i_is_9fdeb09f-0a42-4a33-b337-0ae38817954c""}","{""official"":""https://www.dior.com/ja_jp/beauty/products/%E3%82%AA%E3%83%BC-%E3%82%BD%E3%83%90%E3%83%BC%E3%82%B8%E3%83%A5-%E3%82%AA%E3%83%BC%E3%83%89%E3%82%A5-%E3%83%88%E3%83%AF%E3%83%AC-Y0097001.html"",""amazon"":null,""rakuten"":""https://hb.afl.rakuten.co.jp/hgc/g00pu2mn.k90d68f9.g00pu2mn.k90d7381/?pc=https%3A%2F%2Fitem.rakuten.co.jp%2Fcosmelink%2Fb3348900627499%2F&m=http%3A%2F%2Fm.rakuten.co.jp%2Fcosmelink%2Fi%2F10050208%2F&rafcid=wsc_i_is_9fdeb09f-0a42-4a33-b337-0ae38817954c""}",false,true,一致
dior-1,sourceUrls,"[""https://www.dior.com/ja_jp/beauty/products/%E3%82%AA%E3%83%BC-%E3%82%BD%E3%83%90%E3%83%BC%E3%82%B8%E3%83%A5-%E3%82%AA%E3%83%BC%E3%83%89%E3%82%A5-%E3%83%88%E3%83%AF%E3%83%AC-Y0097001.html""]","[""https://www.dior.com/ja_jp/beauty/products/%E3%82%AA%E3%83%BC-%E3%82%BD%E3%83%90%E3%83%BC%E3%82%B8%E3%83%A5-%E3%82%AA%E3%83%BC%E3%83%89%E3%82%A5-%E3%83%88%E3%83%AF%E3%83%AC-Y0097001.html""]",false,true,一致
dior-1,title,オー ソバージュ（Dior）はどんな匂い？香調・持続・合うシーン｜Sillage,オー ソバージュ（Dior）はどんな匂い？香調・持続・合うシーン｜Sillage,false,true,一致
dior-1,description,Dior「オー ソバージュ」の香調(トップ・ミドル・ラスト)、季節・シーン、価格帯、Sillageの見立てをまとめています。,Dior「オー ソバージュ」の香調(トップ・ミドル・ラスト)、季節・シーン、価格帯、Sillageの見立てをまとめています。,false,true,一致
dior-1,canonical,https://sillage.asutelu.com/items/dior-1,https://sillage.asutelu.com/items/dior-1,false,true,一致
dior-1,h1,オー ソバージュ,オー ソバージュ,false,true,一致
dior-1,relatedSlugs,"[""dior-2"",""dior-3"",""dior-4""]","[""dior-2"",""dior-3"",""dior-4""]",false,true,一致
hermes-1,array-order,3,3,false,true,一致
hermes-1,slug,hermes-1,hermes-1,false,true,一致
hermes-1,brand,Hermès,Hermès,false,true,一致
hermes-1,productName,オー ド パンプルムース ローズ,オー ド パンプルムース ローズ,false,true,一致
hermes-1,detailUrl,/items/hermes-1,/items/hermes-1,false,true,一致
hermes-1,productContentHash,f8dc5c72c3a889ca57eda11fb61c8ac187787e53bd90dd3e1cf9100555257c73,f8dc5c72c3a889ca57eda11fb61c8ac187787e53bd90dd3e1cf9100555257c73,false,true,一致
hermes-1,purchaseUrls,"{""official"":""https://www.hermes.com/jp/ja/product/%E3%82%AA%E3%83%BC-%E3%83%87-%E3%82%B3%E3%83%AD%E3%83%B3-%E3%80%8A%E3%82%AA%E3%83%BC-%E3%83%89%E3%82%A5-%E3%83%91%E3%83%B3%E3%83%97%E3%83%AB%E3%83%A0%E3%82%B9-%E3%83%AD%E3%83%BC%E3%82%BA%E3%80%8B-V25602/"",""amazon"":null,""rakuten"":null}","{""official"":""https://www.hermes.com/jp/ja/product/%E3%82%AA%E3%83%BC-%E3%83%87-%E3%82%B3%E3%83%AD%E3%83%B3-%E3%80%8A%E3%82%AA%E3%83%BC-%E3%83%89%E3%82%A5-%E3%83%91%E3%83%B3%E3%83%97%E3%83%AB%E3%83%A0%E3%82%B9-%E3%83%AD%E3%83%BC%E3%82%BA%E3%80%8B-V25602/"",""amazon"":null,""rakuten"":null}",false,true,一致
hermes-1,sourceUrls,"[""https://www.hermes.com/jp/ja/product/%E3%82%AA%E3%83%BC-%E3%83%87-%E3%82%B3%E3%83%AD%E3%83%B3-%E3%80%8A%E3%82%AA%E3%83%BC-%E3%83%89%E3%82%A5-%E3%83%91%E3%83%B3%E3%83%97%E3%83%AB%E3%83%A0%E3%82%B9-%E3%83%AD%E3%83%BC%E3%82%BA%E3%80%8B-V25602/""]","[""https://www.hermes.com/jp/ja/product/%E3%82%AA%E3%83%BC-%E3%83%87-%E3%82%B3%E3%83%AD%E3%83%B3-%E3%80%8A%E3%82%AA%E3%83%BC-%E3%83%89%E3%82%A5-%E3%83%91%E3%83%B3%E3%83%97%E3%83%AB%E3%83%A0%E3%82%B9-%E3%83%AD%E3%83%BC%E3%82%BA%E3%80%8B-V25602/""]",false,true,一致
hermes-1,title,オー ド パンプルムース ローズ（Hermès）はどんな匂い？香調・持続・合うシーン｜Sillage,オー ド パンプルムース ローズ（Hermès）はどんな匂い？香調・持続・合うシーン｜Sillage,false,true,一致
hermes-1,description,Hermès「オー ド パンプルムース ローズ」の香調(トップ・ミドル・ラスト)、季節・シーン、価格帯、Sillageの見立てをまとめています。,Hermès「オー ド パンプルムース ローズ」の香調(トップ・ミドル・ラスト)、季節・シーン、価格帯、Sillageの見立てをまとめています。,false,true,一致
hermes-1,canonical,https://sillage.asutelu.com/items/hermes-1,https://sillage.asutelu.com/items/hermes-1,false,true,一致
hermes-1,h1,オー ド パンプルムース ローズ,オー ド パンプルムース ローズ,false,true,一致
hermes-1,relatedSlugs,"[""hermes-2"",""hermes-3"",""jo-malone-1""]","[""hermes-2"",""hermes-3"",""jo-malone-1""]",false,true,一致
4711-1,array-order,4,4,false,true,一致
4711-1,slug,4711-1,4711-1,false,true,一致
4711-1,brand,4711,4711,false,true,一致
4711-1,productName,オーデコロン,オーデコロン,false,true,一致
4711-1,detailUrl,/items/4711-1,/items/4711-1,false,true,一致
4711-1,productContentHash,2b444e0020994723548918c763a8a6a92ee01304e97cde2b06a4aab58186112b,2b444e0020994723548918c763a8a6a92ee01304e97cde2b06a4aab58186112b,false,true,一致
