slug,brand,name,category,label,declaredType,detectedType,url,formatValid,duplicateCount,status,httpStatus,finalUrl,redirectCount,expectedDomain,domainMatch,checkedAt,note
4711-1,4711,オーデコロン,purchase,official,product,,https://4711.com/en/products/4711-echt-kolnisch-wasser-splash,true,2,redirect,200,https://4711.com/products/4711-echt-kolnisch-wasser-splash,1,4711.com,true,2026-07-18T13:48:53.395Z,duplicate_url_across_fields
4711-1,4711,オーデコロン,purchase,rakuten,product,product,https://hb.afl.rakuten.co.jp/hgc/g00pv5mn.k90d6eb3.g00pv5mn.k90d71f1/?pc=https%3A%2F%2Fitem.rakuten.co.jp%2Fkousuimonogatari%2Fyon1004%2F&m=http%3A%2F%2Fm.rakuten.co.jp%2Fkousuimonogatari%2Fi%2F10042692%2F&rafcid=wsc_i_is_9fdeb09f-0a42-4a33-b337-0ae38817954c,true,1,redirect,200,https://item.rakuten.co.jp/kousuimonogatari/yon1004/?scid=af_pc_etc&sc2id=af_101_0_0&rafcid=wsc_i_is_9fdeb09f-0a42-4a33-b337-0ae38817954c,3,rakuten.co.jp,true,2026-07-18T13:49:02.837Z,
4711-1,4711,オーデコロン,source,1:official,,,https://4711.com/en/products/4711-echt-kolnisch-wasser-splash,true,2,redirect,200,https://4711.com/products/4711-echt-kolnisch-wasser-splash,1,4711.com,true,2026-07-18T13:48:53.330Z,duplicate_url_across_fields
guerlain-1,Guerlain,オー インペリアル,purchase,official,product,,https://www.guerlain.com/fr/fr-fr/p/les-colognes-eau-de-cologne-imperiale-021766.html,true,2,blocked,403,https://www.guerlain.com/fr/fr-fr/p/les-colognes-eau-de-cologne-imperiale-021766.html,0,www.guerlain.com,true,2026-07-18T13:48:52.471Z,duplicate_url_across_fields
guerlain-1,Guerlain,オー インペリアル,purchase,rakuten,product,product,https://hb.afl.rakuten.co.jp/hgc/g00u4tbn.k90d61d0.g00u4tbn.k90d7ab4/?pc=https%3A%2F%2Fitem.rakuten.co.jp%2Frareu%2F2023093037%2F&m=http%3A%2F%2Fm.rakuten.co.jp%2Frareu%2Fi%2F10008561%2F&rafcid=wsc_i_is_9fdeb09f-0a42-4a33-b337-0ae38817954c,true,1,redirect,200,https://item.rakuten.co.jp/rareu/2023093037/?scid=af_pc_etc&sc2id=af_101_0_0&rafcid=wsc_i_is_9fdeb09f-0a42-4a33-b337-0ae38817954c,3,rakuten.co.jp,true,2026-07-18T13:49:03.297Z,
guerlain-1,Guerlain,オー インペリアル,source,1:official,,,https://www.guerlain.com/fr/fr-fr/p/les-colognes-eau-de-cologne-imperiale-021766.html,true,2,blocked,403,https://www.guerlain.com/fr/fr-fr/p/les-colognes-eau-de-cologne-imperiale-021766.html,0,www.guerlain.com,true,2026-07-18T13:48:53.850Z,duplicate_url_across_fields
dolce-gabbana-1,Dolce&Gabbana,ライト ブルー プールオム,purchase,official,product,,https://www.dolcegabbana.com/en-gb/beauty/perfumes-for-him/light-blue-pour-homme/light-blue-pour-homme-eau-de-toilette---VT01CPVT0009V000.html,true,2,ok,200,https://www.dolcegabbana.com/en-gb/beauty/perfumes-for-him/light-blue-pour-homme/light-blue-pour-homme-eau-de-toilette---VT01CPVT0009V000.html,0,www.dolcegabbana.com,true,2026-07-18T13:48:53.953Z,duplicate_url_across_fields
dolce-gabbana-1,Dolce&Gabbana,ライト ブルー プールオム,purchase,rakuten,product,product,https://hb.afl.rakuten.co.jp/hgc/g00pv5mn.k90d6eb3.g00pv5mn.k90d71f1/?pc=https%3A%2F%2Fitem.rakuten.co.jp%2Fkousuimonogatari%2F1082458%2F&m=http%3A%2F%2Fm.rakuten.co.jp%2Fkousuimonogatari%2Fi%2F10013577%2F&rafcid=wsc_i_is_9fdeb09f-0a42-4a33-b337-0ae38817954c,true,1,redirect,200,https://item.rakuten.co.jp/kousuimonogatari/1082458/?scid=af_pc_etc&sc2id=af_101_0_0&rafcid=wsc_i_is_9fdeb09f-0a42-4a33-b337-0ae38817954c,3,rakuten.co.jp,true,2026-07-18T13:49:04.683Z,
dolce-gabbana-1,Dolce&Gabbana,ライト ブルー プールオム,source,1:official,,,https://www.dolcegabbana.com/en-gb/beauty/perfumes-for-him/light-blue-pour-homme/light-blue-pour-homme-eau-de-toilette---VT01CPVT0009V000.html,true,2,ok,200,https://www.dolcegabbana.com/en-gb/beauty/perfumes-for-him/light-blue-pour-homme/light-blue-pour-homme-eau-de-toilette---VT01CPVT0009V000.html,0,www.dolcegabbana.com,true,2026-07-18T13:48:54.573Z,duplicate_url_across_fields
hermes-2,Hermès,オー ドランジュ ヴェルト,purchase,rakuten,product,product,https://hb.afl.rakuten.co.jp/hgc/g00u0isn.k90d63fb.g00u0isn.k90d7eb4/?pc=https%3A%2F%2Fitem.rakuten.co.jp%2Fcoscora%2F30118%2F&m=http%3A%2F%2Fm.rakuten.co.jp%2Fcoscora%2Fi%2F10000814%2F&rafcid=wsc_i_is_9fdeb09f-0a42-4a33-b337-0ae38817954c,true,1,redirect,200,https://item.rakuten.co.jp/coscora/30118/?scid=af_pc_etc&sc2id=af_101_0_0&rafcid=wsc_i_is_9fdeb09f-0a42-4a33-b337-0ae38817954c,3,rakuten.co.jp,true,2026-07-18T13:49:05.320Z,
