slug,brand,name,sourceType,market,publisher,title,url,accessedAt,supports
4711-1,4711,オーデコロン,official,EU,4711,4711 Original Eau de Cologne (Splash),https://4711.com/en/products/4711-echt-kolnisch-wasser-splash,2026-07-18,concentration / sizes / notes / releaseYear
guerlain-1,Guerlain,オー インペリアル,official,EU,Guerlain,Eau de Cologne Impériale,https://www.guerlain.com/fr/fr-fr/p/les-colognes-eau-de-cologne-imperiale-021766.html,2026-07-18,concentration / sizes / notes / releaseYear
dolce-gabbana-1,Dolce&Gabbana,ライト ブルー プールオム,official,UK,Dolce&Gabbana,Light Blue Pour Homme Eau de Toilette,https://www.dolcegabbana.com/en-gb/beauty/perfumes-for-him/light-blue-pour-homme/light-blue-pour-homme-eau-de-toilette---VT01CPVT0009V000.html,2026-07-18,concentration / notes / family
hermes-2,Hermès,オー ドランジュ ヴェルト,official,GLOBAL,Hermès,Les Colognes Hermès,https://presse.hermes.com/parfum-beaute/wp-content/uploads/2019/07/cadb46dda518c7c50d5aa3e1aac935ae.pdf,2026-07-18,concentration / releaseYear / notes
ck-1,CK,CK one,official,US,Calvin Klein,CK ONE Gift Set,https://www.calvinklein.us/en/ck-one-gift-set/LX001954.html,2026-07-18,concentration / sizes / notes
montblanc-1,Montblanc,レジェンド,official,US,Montblanc,Legend Eau de Toilette 100 ml,https://www.montblanc.com/en-us/legend-eau-de-toilette-100-ml-MB107460.html,2026-07-18,concentration / sizes / family
azzaro-1,Azzaro,プール オム,official,GLOBAL,Azzaro,Azzaro Pour Homme Eau de Toilette,https://www.azzaro.com/en/fragrances/azzaro-pour-homme/eau-de-toilette,2026-07-18,concentration / sizes / notes / releaseYear / family
chanel-1,Chanel,アリュール オム スポーツ,official,JP,CHANEL,アリュール オム スポーツ オードゥ トワレット,https://www.chanel.com/jp/fragrance/p/123630/allure-homme-sport-eau-de-toilette-spray/,2026-07-18,concentration / sizes / notes
nautica-1,Nautica,ヴォヤージュ,official,US,Nautica,Nautica Voyage 3.4 Oz. Eau De Toilette,https://www.nautica.com/nautica-voyage-3.4-oz.-eau-de-toilette/99350241601.html,2026-07-18,concentration / sizes / notes
ysl-1,YSL,Y メン オーデパルファン,official,US,YSL Beauty,Y Eau De Parfum,https://www.yslbeautyus.com/fragrance/mens-fragrances/y/y-eau-de-parfum/727YSL.html,2026-07-18,concentration / sizes / notes
chanel-2,Chanel,エゴイスト プラチナム,official,JP,CHANEL,エゴイスト プラチナム オードゥ トワレット,https://www.chanel.com/jp/fragrance/p/124460/platinum-egoiste-eau-de-toilette-spray/,2026-07-18,concentration / sizes / notes
gucci-1,Gucci,ギルティ プールオム,official,US,Gucci,"Gucci Guilty Pour Homme, 90ml eau de toilette",https://www.gucci.com/us/en/pr/beauty/fragrances/fragrances-for-men/gucci-guilty-pour-homme-90ml-eau-de-toilette-p-563057999990099,2026-07-18,concentration / sizes / notes / family
dior-3,Dior,ソヴァージュ EDP,official,JP,Dior,ソヴァージュ オードゥ パルファン,https://www.dior.com/ja_jp/beauty/products/%E3%82%BD%E3%83%B4%E3%82%A1%E3%83%BC%E3%82%B8%E3%83%A5-%E3%82%AA%E3%83%BC%E3%83%89%E3%82%A5-%E3%83%91%E3%83%AB%E3%83%95%E3%82%A1%E3%83%B3-Y0785220.html,2026-07-18,concentration / sizes / notes / family
calvin-klein-1,Calvin Klein,エタニティ フォーメン,official,US,Calvin Klein,Eternity Eau De Toilette For Men,https://www.calvinklein.us/en/men/fragrance/fragrance/eternity-eau-de-toilette-for-men/LX000145-000.html,2026-07-18,concentration
chanel-3,Chanel,チャンス オー タンドゥル,official,JP,CHANEL,チャンス オー タンドゥル オードゥ トワレット,https://www.chanel.com/jp/fragrance/p/126320/chance-eau-tendre-eau-de-toilette-spray/,2026-07-18,concentration / sizes / notes / family
gucci-2,Gucci,ブルーム,official,US,Gucci,Gucci Bloom 100ml eau de parfum,https://www.gucci.com/us/en/pr/beauty/fragrances/fragrances-for-women/gucci-bloom/gucci-bloom-100ml-eau-de-parfum-p-488830999990099,2026-07-18,concentration / sizes / notes
jo-malone-2,Jo Malone,イングリッシュ ペアー & フリージア,official,JP,Jo Malone London,イングリッシュ ペアー ＆ フリージア コロン,https://www.jomalone.jp/product/25946/12553/colognes/english-pear-freesia-cologne,2026-07-18,concentration / sizes / notes
marc-jacobs-1,Marc Jacobs,デイジー,official,US,Marc Jacobs,Daisy Eau De Toilette 100 mL,https://www.marcjacobs.com/us-en/daisy-eau-de-toilette-100-ml/31655513034-000.html,2026-07-18,concentration / sizes
jo-malone-3,Jo Malone,ピオニー & ブラッシュ スエード,official,JP,Jo Malone London,ピオニー ＆ ブラッシュ スエード コロン,https://www.jomalone.jp/product/25946/27028/colognes/peony-blush-suede-cologne,2026-07-18,concentration / sizes / notes
versace-2,Versace,ディラン ブルー,official,US,Versace,Dylan Blue Pour Homme,https://www.versace.com/us/en/men/accessories/fragrances-body-care/dylan-blue-pour-homme/SET_Fragrances_DylanBluePourHomme.html,2026-07-18,concentration / sizes / notes / family
azzaro-2,Azzaro,クローム,official,EU,Azzaro,Azzaro Chrome Eau de Toilette,https://www.azzaro.com/fr/parfums/azzaro-chrome/eau-de-toilette,2026-07-18,concentration / sizes / family
thierry-mugler-1,Thierry Mugler,A*MEN,official,US,Mugler,A*MEN Eau de Toilette,https://www.mugler.com/angel-and-a-men-fragrance-collection-/M020101024.html,2026-07-18,concentration / sizes / notes / releaseYear / family
jean-paul-gaultier-1,Jean Paul Gaultier,ル マル,official,US,Jean Paul Gaultier,Le Male Eau de Toilette,https://www.jeanpaulgaultier.com/us/en_US/p/range-le-male/le-male-eau-de-toilette-000000000065120122,2026-07-18,concentration / sizes / notes / family
giorgio-armani-1,Giorgio Armani,ストロンガー ウィズ ユー,official,US,Armani Beauty,Stronger With You Eau de Toilette,https://www.giorgioarmanibeauty-usa.com/fragrances/view-all-fragrances/stronger-with-you-eau-de-toilette/3605522040281.html,2026-07-18,concentration
