"severity","scope","id","message"
"high","site-copy","heroProductLine","Source copy says 97 products, but the product database contains 150"
"high","product","4711-1","Purchase link is marked needsCorrectLink and must not be reused in English output"
"high","product","4711-1","Retail price size is unresolved"
"high","product","ck-1","Purchase link is marked needsCorrectLink and must not be reused in English output"
"high","product","ck-1","Retail price size is unresolved"
"high","product","chanel-1","Purchase link is marked needsCorrectLink and must not be reused in English output"
"high","product","chanel-1","Retail price size is unresolved"
"medium","product","paco-rabanne-1","No structured source records"
"medium","product","paco-rabanne-1","No concentration data"
"high","product","gucci-1","Purchase link is marked needsCorrectLink and must not be reused in English output"
"high","product","gucci-1","Retail price size is unresolved"
"high","product","gucci-3","Retail price size is unresolved"
"medium","product","gucci-3","No structured source records"
"medium","product","gucci-3","No size data"
"high","product","gucci-4","Retail price size is unresolved"
"medium","product","gucci-4","No structured source records"
"medium","product","gucci-4","No size data"
"medium","product","gucci-5","No structured source records"
"medium","product","gucci-5","No size data"
"high","product","gucci-6","Retail price size is unresolved"
"medium","product","gucci-6","No structured source records"
"medium","product","gucci-6","No size data"
"high","product","versace-1","Purchase link is marked needsCorrectLink and must not be reused in English output"
"high","product","versace-1","Retail price size is unresolved"
"high","product","carolina-herrera-1","Purchase link is marked needsCorrectLink and must not be reused in English output"
"high","product","carolina-herrera-1","Retail price size is unresolved"
"medium","product","ysl-6","No structured source records"
"medium","product","ysl-7","No structured source records"
"medium","product","ysl-8","No structured source records"
"high","product","ysl-9","Retail price size is unresolved"
"medium","product","ysl-9","No structured source records"
"medium","product","ysl-9","No size data"
"high","product","bvlgari-1","Purchase link is marked needsCorrectLink and must not be reused in English output"
"high","product","bvlgari-1","Retail price size is unresolved"
"high","product","maison-francis-kurkdjian-1","Purchase link is marked needsCorrectLink and must not be reused in English output"
"high","product","maison-francis-kurkdjian-1","Retail price size is unresolved"
"medium","product","maison-francis-kurkdjian-2","No structured source records"
"medium","product","maison-francis-kurkdjian-3","No structured source records"
"medium","product","maison-francis-kurkdjian-4","No structured source records"
"medium","product","maison-francis-kurkdjian-5","No structured source records"
"medium","product","maison-francis-kurkdjian-6","No structured source records"
"medium","product","maison-francis-kurkdjian-7","No structured source records"
"medium","product","creed-2","No structured source records"
"medium","product","creed-3","No structured source records"
"medium","product","creed-4","No structured source records"
"medium","product","creed-5","No structured source records"
"medium","product","creed-6","No structured source records"
"medium","product","creed-7","No structured source records"
"medium","product","dunhill-1","No structured source records"
"medium","product","dunhill-1","No concentration data"
"medium","product","dunhill-1","No size data"
"high","product","dunhill-2","Retail price size is unresolved"
"medium","product","dunhill-2","No structured source records"
"medium","product","dunhill-2","No size data"
"medium","product","prada-5","No structured source records"
"medium","product","prada-6","No structured source records"
"high","product","prada-7","Retail price size is unresolved"
"medium","product","prada-7","No structured source records"
"medium","product","prada-7","No size data"
"medium","product","jo-malone-5","No structured source records"
"high","product","jo-malone-6","Retail price size is unresolved"
"medium","product","jo-malone-6","No structured source records"
"medium","product","jo-malone-6","No size data"
"medium","product","hugo-boss-2","No structured source records"
"medium","product","hugo-boss-3","No structured source records"
"high","product","hugo-boss-4","Retail price size is unresolved"
"medium","product","hugo-boss-4","No structured source records"
"medium","product","hugo-boss-4","No size data"
"high","product","hugo-boss-5","Retail price size is unresolved"
"medium","product","hugo-boss-5","No structured source records"
"medium","product","hugo-boss-5","No size data"
"high","product","hugo-boss-6","Retail price size is unresolved"
"medium","product","hugo-boss-6","No structured source records"
"medium","product","hugo-boss-6","No size data"
