"status","httpStatus","kind","slug","sourceUrl","checkedUrl","redirectTo","usedBy","error"
"blocked","403","official","jo-malone-1","https://www.jomalone.jp/product/25946/10101/colognes/lime-basil-mandarin-cologne","https://www.jomalone.jp/product/25946/10101/colognes/lime-basil-mandarin-cologne","","jo-malone-1:official|jo-malone-1:source",""
"timeout","","rakuten","jo-malone-1","https://af.moshimo.com/af/c/click?a_id=5718841&p_id=54&pc_id=54&pl_id=616&url=https%3A%2F%2Fitem.rakuten.co.jp%2Fjomalone%2F10101l00301%2F","https://item.rakuten.co.jp/jomalone/10101l00301/","","jo-malone-1:rakuten","This operation was aborted"
"blocked","403","official","acqua-di-parma-1","https://www.acquadiparma.com/en/gb/colonia/COLONIAEDCRP.html","https://www.acquadiparma.com/en/gb/colonia/COLONIAEDCRP.html","","acqua-di-parma-1:official|acqua-di-parma-1:source",""
"timeout","","rakuten","acqua-di-parma-1","https://af.moshimo.com/af/c/click?a_id=5718841&p_id=54&pc_id=54&pl_id=616&url=https%3A%2F%2Fitem.rakuten.co.jp%2Fkousuimonogatari%2Fadp1003%2F","https://item.rakuten.co.jp/kousuimonogatari/adp1003/","","acqua-di-parma-1:rakuten","This operation was aborted"
"blocked","403","official","dior-1","https://www.dior.com/ja_jp/beauty/products/%E3%82%AA%E3%83%BC-%E3%82%BD%E3%83%90%E3%83%BC%E3%82%B8%E3%83%A5-%E3%82%AA%E3%83%BC%E3%83%89%E3%82%A5-%E3%83%88%E3%83%AF%E3%83%AC-Y0097001.html","https://www.dior.com/ja_jp/beauty/products/%E3%82%AA%E3%83%BC-%E3%82%BD%E3%83%90%E3%83%BC%E3%82%B8%E3%83%A5-%E3%82%AA%E3%83%BC%E3%83%89%E3%82%A5-%E3%83%88%E3%83%AF%E3%83%AC-Y0097001.html","","dior-1:official|dior-1:source",""
"timeout","","rakuten","dior-1","https://af.moshimo.com/af/c/click?a_id=5718841&p_id=54&pc_id=54&pl_id=616&url=https%3A%2F%2Fitem.rakuten.co.jp%2Fcosmelink%2Fb3348900627499%2F","https://item.rakuten.co.jp/cosmelink/b3348900627499/","","dior-1:rakuten","This operation was aborted"
"redirect","302","official","4711-1","https://4711.com/en/products/4711-echt-kolnisch-wasser-splash","https://4711.com/en/products/4711-echt-kolnisch-wasser-splash","https://4711.com/products/4711-echt-kolnisch-wasser-splash","4711-1:official|4711-1:source",""
"timeout","","rakuten","4711-1","https://af.moshimo.com/af/c/click?a_id=5718841&p_id=54&pc_id=54&pl_id=616&url=https%3A%2F%2Fitem.rakuten.co.jp%2Fkousuimonogatari%2Fyon1004%2F","https://item.rakuten.co.jp/kousuimonogatari/yon1004/","","4711-1:rakuten","This operation was aborted"
"blocked","403","official","guerlain-1","https://www.guerlain.com/fr/fr-fr/p/les-colognes-eau-de-cologne-imperiale-021766.html","https://www.guerlain.com/fr/fr-fr/p/les-colognes-eau-de-cologne-imperiale-021766.html","","guerlain-1:official|guerlain-1:source",""
"timeout","","rakuten","guerlain-1","https://af.moshimo.com/af/c/click?a_id=5718841&p_id=54&pc_id=54&pl_id=616&url=https%3A%2F%2Fitem.rakuten.co.jp%2Frareu%2F2023093037%2F","https://item.rakuten.co.jp/rareu/2023093037/","","guerlain-1:rakuten","This operation was aborted"
"ok","200","official","dolce-gabbana-1","https://www.dolcegabbana.com/en-gb/beauty/perfumes-for-him/light-blue-pour-homme/light-blue-pour-homme-eau-de-toilette---VT01CPVT0009V000.html","https://www.dolcegabbana.com/en-gb/beauty/perfumes-for-him/light-blue-pour-homme/light-blue-pour-homme-eau-de-toilette---VT01CPVT0009V000.html","","dolce-gabbana-1:official|dolce-gabbana-1:source",""
"timeout","","rakuten","dolce-gabbana-1","https://af.moshimo.com/af/c/click?a_id=5718841&p_id=54&pc_id=54&pl_id=616&url=https%3A%2F%2Fitem.rakuten.co.jp%2Fkousuimonogatari%2F1082458%2F","https://item.rakuten.co.jp/kousuimonogatari/1082458/","","dolce-gabbana-1:rakuten","This operation was aborted"
"timeout","","rakuten","hermes-2","https://af.moshimo.com/af/c/click?a_id=5718841&p_id=54&pc_id=54&pl_id=616&url=https%3A%2F%2Fitem.rakuten.co.jp%2Fcoscora%2F30118%2F","https://item.rakuten.co.jp/coscora/30118/","","hermes-2:rakuten","This operation was aborted"
"ok","200","source","hermes-2","https://presse.hermes.com/parfum-beaute/wp-content/uploads/2019/07/cadb46dda518c7c50d5aa3e1aac935ae.pdf","https://presse.hermes.com/parfum-beaute/wp-content/uploads/2019/07/cadb46dda518c7c50d5aa3e1aac935ae.pdf","","hermes-2:source",""
"blocked","403","official","dior-2","https://www.dior.com/ja_jp/beauty/products/%E3%82%BD%E3%83%B4%E3%82%A1%E3%83%BC%E3%82%B8%E3%83%A5-%E3%82%AA%E3%83%BC%E3%83%89%E3%82%A5-%E3%83%88%E3%83%AF%E3%83%AC-Y0685240.html","https://www.dior.com/ja_jp/beauty/products/%E3%82%BD%E3%83%B4%E3%82%A1%E3%83%BC%E3%82%B8%E3%83%A5-%E3%82%AA%E3%83%BC%E3%83%89%E3%82%A5-%E3%83%88%E3%83%AF%E3%83%AC-Y0685240.html","","dior-2:official|dior-2:source",""
"timeout","","rakuten","dior-2","https://af.moshimo.com/af/c/click?a_id=5718841&p_id=54&pc_id=54&pl_id=616&url=https%3A%2F%2Fitem.rakuten.co.jp%2Fblanc-lapin%2Fdir3f0000042%2F","https://item.rakuten.co.jp/blanc-lapin/dir3f0000042/","","dior-2:rakuten","This operation was aborted"
"timeout","","rakuten","ck-1","https://af.moshimo.com/af/c/click?a_id=5718841&p_id=54&pc_id=54&pl_id=616&url=https%3A%2F%2Fitem.rakuten.co.jp%2Ffragrance-u%2Fca-oneetsp%2F","https://item.rakuten.co.jp/fragrance-u/ca-oneetsp/","","ck-1:rakuten","This operation was aborted"
"blocked","403","source","ck-1","https://www.calvinklein.us/en/ck-one-gift-set/LX001954.html","https://www.calvinklein.us/en/ck-one-gift-set/LX001954.html","","ck-1:source",""
"timeout","","official","montblanc-1","https://www.montblanc.com/en-us/legend-eau-de-toilette-100-ml-MB107460.html","https://www.montblanc.com/en-us/legend-eau-de-toilette-100-ml-MB107460.html","","montblanc-1:official|montblanc-1:source","This operation was aborted"
"timeout","","rakuten","montblanc-1","https://af.moshimo.com/af/c/click?a_id=5718841&p_id=54&pc_id=54&pl_id=616&url=https%3A%2F%2Fitem.rakuten.co.jp%2Fkousuiandco%2Fpage-mon007-030%2F","https://item.rakuten.co.jp/kousuiandco/page-mon007-030/","","montblanc-1:rakuten","This operation was aborted"
"ok","200","official","azzaro-1","https://www.azzaro.com/en/fragrances/azzaro-pour-homme/eau-de-toilette","https://www.azzaro.com/en/fragrances/azzaro-pour-homme/eau-de-toilette","","azzaro-1:official|azzaro-1:source",""
"timeout","","rakuten","azzaro-1","https://af.moshimo.com/af/c/click?a_id=5718841&p_id=54&pc_id=54&pl_id=616&url=https%3A%2F%2Fitem.rakuten.co.jp%2Fkousuimonogatari%2F1021975%2F","https://item.rakuten.co.jp/kousuimonogatari/1021975/","","azzaro-1:rakuten","This operation was aborted"
"blocked","403","official","chanel-1","https://www.chanel.com/jp/fragrance/p/123630/allure-homme-sport-eau-de-toilette-spray/","https://www.chanel.com/jp/fragrance/p/123630/allure-homme-sport-eau-de-toilette-spray/","","chanel-1:official|chanel-1:source",""
"timeout","","rakuten","chanel-1","https://af.moshimo.com/af/c/click?a_id=5718841&p_id=54&pc_id=54&pl_id=616&url=https%3A%2F%2Fitem.rakuten.co.jp%2Fkousuiandco%2Fcha008-150%2F","https://item.rakuten.co.jp/kousuiandco/cha008-150/","","chanel-1:rakuten","This operation was aborted"
"timeout","","rakuten","paco-rabanne-1","https://af.moshimo.com/af/c/click?a_id=5718841&p_id=54&pc_id=54&pl_id=616&url=https%3A%2F%2Fitem.rakuten.co.jp%2Fdiogreco%2Fpr-pacorabannepourhommedt-100ml%2F","https://item.rakuten.co.jp/diogreco/pr-pacorabannepourhommedt-100ml/","","paco-rabanne-1:rakuten","This operation was aborted"
"ok","200","official","nautica-1","https://www.nautica.com/nautica-voyage-3.4-oz.-eau-de-toilette/99350241601.html","https://www.nautica.com/nautica-voyage-3.4-oz.-eau-de-toilette/99350241601.html","","nautica-1:official|nautica-1:source",""
"timeout","","rakuten","nautica-1","https://af.moshimo.com/af/c/click?a_id=5718841&p_id=54&pc_id=54&pl_id=616&url=https%3A%2F%2Fitem.rakuten.co.jp%2Fkousuimonogatari%2Fnau1041%2F","https://item.rakuten.co.jp/kousuimonogatari/nau1041/","","nautica-1:rakuten","This operation was aborted"
"blocked","403","official","guerlain-2","https://www.guerlain.com/fr/fr-fr/p/vetiver-de-guerlain-paris-eau-de-toilette-G030486.html","https://www.guerlain.com/fr/fr-fr/p/vetiver-de-guerlain-paris-eau-de-toilette-G030486.html","","guerlain-2:official|guerlain-2:source",""
"timeout","","rakuten","guerlain-2","https://af.moshimo.com/af/c/click?a_id=5718841&p_id=54&pc_id=54&pl_id=616&url=https%3A%2F%2Fitem.rakuten.co.jp%2Frareu%2F2024032114%2F","https://item.rakuten.co.jp/rareu/2024032114/","","guerlain-2:rakuten","This operation was aborted"
"blocked","403","official","chanel-2","https://www.chanel.com/jp/fragrance/p/124460/platinum-egoiste-eau-de-toilette-spray/","https://www.chanel.com/jp/fragrance/p/124460/platinum-egoiste-eau-de-toilette-spray/","","chanel-2:official|chanel-2:source",""
"timeout","","rakuten","chanel-2","https://af.moshimo.com/af/c/click?a_id=5718841&p_id=54&pc_id=54&pl_id=616&url=https%3A%2F%2Fitem.rakuten.co.jp%2Faquabouquet%2Fcha00320%2F","https://item.rakuten.co.jp/aquabouquet/cha00320/","","chanel-2:rakuten","This operation was aborted"
"timeout","","official","gucci-1","https://www.gucci.com/us/en/pr/beauty/fragrances/fragrances-for-men/gucci-guilty-pour-homme-90ml-eau-de-toilette-p-563057999990099","https://www.gucci.com/us/en/pr/beauty/fragrances/fragrances-for-men/gucci-guilty-pour-homme-90ml-eau-de-toilette-p-563057999990099","","gucci-1:official|gucci-1:source","This operation was aborted"
"timeout","","rakuten","gucci-1","https://af.moshimo.com/af/c/click?a_id=5718841&p_id=54&pc_id=54&pl_id=616&url=https%3A%2F%2Fitem.rakuten.co.jp%2Fkousuiandco%2Fpage-guc016-050%2F","https://item.rakuten.co.jp/kousuiandco/page-guc016-050/","","gucci-1:rakuten","This operation was aborted"
"blocked","403","official","dior-3","https://www.dior.com/ja_jp/beauty/products/%E3%82%BD%E3%83%B4%E3%82%A1%E3%83%BC%E3%82%B8%E3%83%A5-%E3%82%AA%E3%83%BC%E3%83%89%E3%82%A5-%E3%83%91%E3%83%AB%E3%83%95%E3%82%A1%E3%83%B3-Y0785220.html","https://www.dior.com/ja_jp/beauty/products/%E3%82%BD%E3%83%B4%E3%82%A1%E3%83%BC%E3%82%B8%E3%83%A5-%E3%82%AA%E3%83%BC%E3%83%89%E3%82%A5-%E3%83%91%E3%83%AB%E3%83%95%E3%82%A1%E3%83%B3-Y0785220.html","","dior-3:official|dior-3:source",""
"timeout","","rakuten","dior-3","https://af.moshimo.com/af/c/click?a_id=5718841&p_id=54&pc_id=54&pl_id=616&url=https%3A%2F%2Fitem.rakuten.co.jp%2Fwish%2F10047089%2F","https://item.rakuten.co.jp/wish/10047089/","","dior-3:rakuten","This operation was aborted"
"blocked","403","official","calvin-klein-1","https://www.calvinklein.us/en/men/fragrance/fragrance/eternity-eau-de-toilette-for-men/LX000145-000.html","https://www.calvinklein.us/en/men/fragrance/fragrance/eternity-eau-de-toilette-for-men/LX000145-000.html","","calvin-klein-1:official|calvin-klein-1:source",""
"timeout","","rakuten","calvin-klein-1","https://af.moshimo.com/af/c/click?a_id=5718841&p_id=54&pc_id=54&pl_id=616&url=https%3A%2F%2Fitem.rakuten.co.jp%2Fkousuimonogatari%2F571691%2F","https://item.rakuten.co.jp/kousuimonogatari/571691/","","calvin-klein-1:rakuten","This operation was aborted"
"ok","200","official","ysl-2","https://www.yslbeauty.com/int/fragrance/fragrance-for-her/libre/libre-eau-de-parfum/WW-50424YSL.html","https://www.yslbeauty.com/int/fragrance/fragrance-for-her/libre/libre-eau-de-parfum/WW-50424YSL.html","","ysl-2:official|ysl-2:source",""
"timeout","","rakuten","ysl-2","https://af.moshimo.com/af/c/click?a_id=5718841&p_id=54&pc_id=54&pl_id=616&url=https%3A%2F%2Fitem.rakuten.co.jp%2Fyslbeauty%2Fww-50424ysl%2F","https://item.rakuten.co.jp/yslbeauty/ww-50424ysl/","","ysl-2:rakuten","This operation was aborted"
"blocked","403","official","chanel-3","https://www.chanel.com/jp/fragrance/p/126320/chance-eau-tendre-eau-de-toilette-spray/","https://www.chanel.com/jp/fragrance/p/126320/chance-eau-tendre-eau-de-toilette-spray/","","chanel-3:official|chanel-3:source",""
"timeout","","rakuten","chanel-3","https://af.moshimo.com/af/c/click?a_id=5718841&p_id=54&pc_id=54&pl_id=616&url=https%3A%2F%2Fitem.rakuten.co.jp%2Fbrilliantworld%2Fchanel-chance-edp%2F","https://item.rakuten.co.jp/brilliantworld/chanel-chance-edp/","","chanel-3:rakuten","This operation was aborted"
"blocked","403","official","dior-4","https://www.dior.com/ja_jp/beauty/products/%E3%82%B8%E3%83%A3%E3%83%89%E3%83%BC%E3%83%AB-%E3%82%AA%E3%83%BC%E3%83%89%E3%82%A5-%E3%83%91%E3%83%AB%E3%83%95%E3%82%A1%E3%83%B3-Y0998031.html","https://www.dior.com/ja_jp/beauty/products/%E3%82%B8%E3%83%A3%E3%83%89%E3%83%BC%E3%83%AB-%E3%82%AA%E3%83%BC%E3%83%89%E3%82%A5-%E3%83%91%E3%83%AB%E3%83%95%E3%82%A1%E3%83%B3-Y0998031.html","","dior-4:official|dior-4:source",""
"timeout","","rakuten","dior-4","https://af.moshimo.com/af/c/click?a_id=5718841&p_id=54&pc_id=54&pl_id=616&url=https%3A%2F%2Fitem.rakuten.co.jp%2Fwish%2F1516362%2F","https://item.rakuten.co.jp/wish/1516362/","","dior-4:rakuten","This operation was aborted"
"timeout","","official","gucci-2","https://www.gucci.com/us/en/pr/beauty/fragrances/fragrances-for-women/gucci-bloom/gucci-bloom-100ml-eau-de-parfum-p-488830999990099","https://www.gucci.com/us/en/pr/beauty/fragrances/fragrances-for-women/gucci-bloom/gucci-bloom-100ml-eau-de-parfum-p-488830999990099","","gucci-2:official|gucci-2:source","This operation was aborted"
"timeout","","rakuten","gucci-2","https://af.moshimo.com/af/c/click?a_id=5718841&p_id=54&pc_id=54&pl_id=616&url=https%3A%2F%2Fitem.rakuten.co.jp%2Fkousuiandco%2Fpage-guc044-100%2F","https://item.rakuten.co.jp/kousuiandco/page-guc044-100/","","gucci-2:rakuten","This operation was aborted"
"timeout","","rakuten","gucci-3","https://af.moshimo.com/af/c/click?a_id=5718841&p_id=54&pc_id=54&pl_id=616&url=https%3A%2F%2Fitem.rakuten.co.jp%2Fwish%2F10044316%2F","https://item.rakuten.co.jp/wish/10044316/","","gucci-3:rakuten","This operation was aborted"
"timeout","","rakuten","gucci-4","https://af.moshimo.com/af/c/click?a_id=5718841&p_id=54&pc_id=54&pl_id=616&url=https%3A%2F%2Fitem.rakuten.co.jp%2Fbelmo%2Ffr3616304175893%2F","https://item.rakuten.co.jp/belmo/fr3616304175893/","","gucci-4:rakuten","This operation was aborted"
"timeout","","rakuten","gucci-5","https://af.moshimo.com/af/c/click?a_id=5718841&p_id=54&pc_id=54&pl_id=616&url=https%3A%2F%2Fitem.rakuten.co.jp%2Fhline-international%2F709436%2F","https://item.rakuten.co.jp/hline-international/709436/","","gucci-5:rakuten","This operation was aborted"
"timeout","","rakuten","gucci-6","https://af.moshimo.com/af/c/click?a_id=5718841&p_id=54&pc_id=54&pl_id=616&url=https%3A%2F%2Fitem.rakuten.co.jp%2Fbelmo%2Ffr3614225299520%2F","https://item.rakuten.co.jp/belmo/fr3614225299520/","","gucci-6:rakuten","This operation was aborted"
"blocked","403","official","jo-malone-2","https://www.jomalone.jp/product/25946/12553/colognes/english-pear-freesia-cologne","https://www.jomalone.jp/product/25946/12553/colognes/english-pear-freesia-cologne","","jo-malone-2:official|jo-malone-2:source",""
"timeout","","rakuten","jo-malone-2","https://af.moshimo.com/af/c/click?a_id=5718841&p_id=54&pc_id=54&pl_id=616&url=https%3A%2F%2Fitem.rakuten.co.jp%2Fcosme-venus%2F0690251019090%2F","https://item.rakuten.co.jp/cosme-venus/0690251019090/","","jo-malone-2:rakuten","This operation was aborted"
"ok","200","official","marc-jacobs-1","https://www.marcjacobs.com/us-en/daisy-eau-de-toilette-100-ml/31655513034-000.html","https://www.marcjacobs.com/us-en/daisy-eau-de-toilette-100-ml/31655513034-000.html","","marc-jacobs-1:official|marc-jacobs-1:source",""
"timeout","","rakuten","marc-jacobs-1","https://af.moshimo.com/af/c/click?a_id=5718841&p_id=54&pc_id=54&pl_id=616&url=https%3A%2F%2Fitem.rakuten.co.jp%2Fosharecafe%2F5000547_1%2F","https://item.rakuten.co.jp/osharecafe/5000547_1/","","marc-jacobs-1:rakuten","This operation was aborted"
"blocked","403","official","jo-malone-3","https://www.jomalone.jp/product/25946/27028/colognes/peony-blush-suede-cologne","https://www.jomalone.jp/product/25946/27028/colognes/peony-blush-suede-cologne","","jo-malone-3:official|jo-malone-3:source",""
"timeout","","rakuten","jo-malone-3","https://af.moshimo.com/af/c/click?a_id=5718841&p_id=54&pc_id=54&pl_id=616&url=https%3A%2F%2Fitem.rakuten.co.jp%2Fjomalone%2F27028l3ae01%2F","https://item.rakuten.co.jp/jomalone/27028l3ae01/","","jo-malone-3:rakuten","This operation was aborted"
"blocked","403","official","versace-1","https://www.versace.com/us/en/men/accessories/fragrances-body-care/eros/eros-edt-100-ml-blue/R740010-R100MLS_RTU_TU_RNUL__.html","https://www.versace.com/us/en/men/accessories/fragrances-body-care/eros/eros-edt-100-ml-blue/R740010-R100MLS_RTU_TU_RNUL__.html","","versace-1:official|versace-1:source",""
"timeout","","rakuten","versace-1","https://af.moshimo.com/af/c/click?a_id=5718841&p_id=54&pc_id=54&pl_id=616&url=https%3A%2F%2Fitem.rakuten.co.jp%2Fkousuimonogatari%2Fver1191%2F","https://item.rakuten.co.jp/kousuimonogatari/ver1191/","","versace-1:rakuten","This operation was aborted"
"blocked","403","official","versace-2","https://www.versace.com/us/en/men/accessories/fragrances-body-care/dylan-blue-pour-homme/SET_Fragrances_DylanBluePourHomme.html","https://www.versace.com/us/en/men/accessories/fragrances-body-care/dylan-blue-pour-homme/SET_Fragrances_DylanBluePourHomme.html","","versace-2:official|versace-2:source",""
"timeout","","rakuten","versace-2","https://af.moshimo.com/af/c/click?a_id=5718841&p_id=54&pc_id=54&pl_id=616&url=https%3A%2F%2Fitem.rakuten.co.jp%2Faquabouquet%2F8011003825738%2F","https://item.rakuten.co.jp/aquabouquet/8011003825738/","","versace-2:rakuten","This operation was aborted"
"ok","200","official","azzaro-2","https://www.azzaro.com/fr/parfums/azzaro-chrome/eau-de-toilette","https://www.azzaro.com/fr/parfums/azzaro-chrome/eau-de-toilette","","azzaro-2:official|azzaro-2:source",""
