"slug","brand","nameJa","nameEn","englishSlug","missingCount","missingFields"
"jo-malone-1","Jo Malone","ライムバジル & マンダリン","","","2","nameEn|englishSlug"
"acqua-di-parma-1","Acqua di Parma","コロニア","","","2","nameEn|englishSlug"
"dior-1","Dior","オー ソバージュ","","","2","nameEn|englishSlug"
"4711-1","4711","オーデコロン","","","2","nameEn|englishSlug"
"guerlain-1","Guerlain","オー インペリアル","","","2","nameEn|englishSlug"
"dolce-gabbana-1","Dolce&Gabbana","ライト ブルー プールオム","","","2","nameEn|englishSlug"
"hermes-2","Hermès","オー ドランジュ ヴェルト","","","3","officialLink|nameEn|englishSlug"
"dior-2","Dior","ソヴァージュ EDT","Sauvage Eau de Toilette","sauvage-eau-de-toilette","0",""
"ck-1","Calvin Klein","CK one","","","3","officialLink|nameEn|englishSlug"
"montblanc-1","Montblanc","レジェンド","","","2","nameEn|englishSlug"
"azzaro-1","Azzaro","プール オム","","","2","nameEn|englishSlug"
"chanel-1","Chanel","アリュール オム スポーツ","","","2","nameEn|englishSlug"
"paco-rabanne-1","Paco Rabanne","プール オム","","","5","concentration|officialLink|sources|nameEn|englishSlug"
"nautica-1","Nautica","ヴォヤージュ","","","2","nameEn|englishSlug"
"guerlain-2","Guerlain","ヴェチバー","","","2","nameEn|englishSlug"
"chanel-2","Chanel","エゴイスト プラチナム","","","2","nameEn|englishSlug"
"gucci-1","Gucci","ギルティ プールオム","","","2","nameEn|englishSlug"
"dior-3","Dior","ソヴァージュ EDP","","","2","nameEn|englishSlug"
"calvin-klein-1","Calvin Klein","エタニティ フォーメン","","","2","nameEn|englishSlug"
"ysl-2","YSL","リブレ オーデパルファン","","","2","nameEn|englishSlug"
"chanel-3","Chanel","チャンス オー タンドゥル","","","2","nameEn|englishSlug"
"dior-4","Dior","ジャドール","","","2","nameEn|englishSlug"
"gucci-2","Gucci","ブルーム","","","2","nameEn|englishSlug"
"gucci-3","Gucci","ギルティ アブソリュート プールオム","","","7","priceTier|displayedPrice|sizes|officialLink|sources|nameEn|englishSlug"
"gucci-4","Gucci","ギルティ エリクシール ドゥ パルファム プールオム","","","7","priceTier|displayedPrice|sizes|officialLink|sources|nameEn|englishSlug"
"gucci-5","Gucci","ギルティ プールオム オードパルファム","","","7","priceTier|displayedPrice|sizes|officialLink|sources|nameEn|englishSlug"
"gucci-6","Gucci","ギルティ ラブ エディション プールオム","","","7","priceTier|displayedPrice|sizes|officialLink|sources|nameEn|englishSlug"
"jo-malone-2","Jo Malone","イングリッシュ ペアー & フリージア","","","2","nameEn|englishSlug"
"marc-jacobs-1","Marc Jacobs","デイジー","","","2","nameEn|englishSlug"
"jo-malone-3","Jo Malone","ピオニー & ブラッシュ スエード","","","2","nameEn|englishSlug"
"versace-1","Versace","エロス EDT","","","2","nameEn|englishSlug"
"versace-2","Versace","ディラン ブルー","","","2","nameEn|englishSlug"
"azzaro-2","Azzaro","クローム","","","2","nameEn|englishSlug"
"mugler-1","Mugler","エンジェル","","","2","nameEn|englishSlug"
"thierry-mugler-1","Mugler","A*MEN","","","2","nameEn|englishSlug"
"giorgio-armani-1","Giorgio Armani","ストロンガー ウィズ ユー","","","3","officialLink|nameEn|englishSlug"
"viktor-rolf-1","Viktor&Rolf","スパイスボム エクストリーム","","","2","nameEn|englishSlug"
"prada-1","Prada","キャンディ","","","2","nameEn|englishSlug"
"carolina-herrera-1","Carolina Herrera","バッドボーイ","","","2","nameEn|englishSlug"
"ysl-3","YSL","ブラック オピウム","","","2","nameEn|englishSlug"
"ysl-6","YSL","MYSLF オーデパルファム","","","4","officialLink|sources|nameEn|englishSlug"
"ysl-7","YSL","MYSLF ルパルファム","","","4","officialLink|sources|nameEn|englishSlug"
"ysl-8","YSL","MYSLF ラブソリュ","","","4","officialLink|sources|nameEn|englishSlug"
"ysl-9","YSL","ラ ニュイ ド ロム","","","7","priceTier|displayedPrice|sizes|officialLink|sources|nameEn|englishSlug"
"maison-margiela-1","Maison Margiela","レプリカ ジャズクラブ","REPLICA Jazz Club","replica-jazz-club","0",""
"dior-5","Dior","ソヴァージュ エリクシール","","","2","nameEn|englishSlug"
"bvlgari-1","Bvlgari","マン イン ブラック","","","2","nameEn|englishSlug"
"viktor-rolf-2","Viktor&Rolf","スパイスボム","","","2","nameEn|englishSlug"
"maison-francis-kurkdjian-1","Maison Francis Kurkdjian","バカラ ルージュ 540","","","2","nameEn|englishSlug"
"maison-francis-kurkdjian-2","Maison Francis Kurkdjian","アクア ユニヴェルサリス","","","4","officialLink|sources|nameEn|englishSlug"
"maison-francis-kurkdjian-3","Maison Francis Kurkdjian","アミリス プールオム","","","4","officialLink|sources|nameEn|englishSlug"
"maison-francis-kurkdjian-4","Maison Francis Kurkdjian","アクア ヴィタエ フォルテ","","","4","officialLink|sources|nameEn|englishSlug"
"maison-francis-kurkdjian-5","Maison Francis Kurkdjian","アクア セレスティア","","","4","officialLink|sources|nameEn|englishSlug"
"maison-francis-kurkdjian-6","Maison Francis Kurkdjian","アクア セレスティア コローニュ フォルテ","","","4","officialLink|sources|nameEn|englishSlug"
"maison-francis-kurkdjian-7","Maison Francis Kurkdjian","バカラ ルージュ 540 エキストレ ドゥ パルファム","","","4","officialLink|sources|nameEn|englishSlug"
"versace-3","Versace","エロス フレイム","","","2","nameEn|englishSlug"
"chanel-4","Chanel","ブルー ドゥ シャネル EDP","","","2","nameEn|englishSlug"
"tom-ford-2","Tom Ford","オード ウッド","","","2","nameEn|englishSlug"
"dior-6","Dior","ファーレンハイト","","","2","nameEn|englishSlug"
"creed-1","Creed","アバントゥス","","","2","nameEn|englishSlug"
"creed-2","Creed","グリーン アイリッシュ ツイード","","","4","officialLink|sources|nameEn|englishSlug"
"creed-3","Creed","シルバー マウンテン ウォーター","","","4","officialLink|sources|nameEn|englishSlug"
"creed-4","Creed","ヴァージン アイランド ウォーター","","","4","officialLink|sources|nameEn|englishSlug"
"creed-5","Creed","アバントゥス コロン","","","4","officialLink|sources|nameEn|englishSlug"
"creed-6","Creed","ミレジム インペリアル","","","4","officialLink|sources|nameEn|englishSlug"
"creed-7","Creed","ボワ ドゥ ポルトガル","","","4","officialLink|sources|nameEn|englishSlug"
"giorgio-armani-2","Giorgio Armani","アルマーニ コード","","","2","nameEn|englishSlug"
"le-labo-1","Le Labo","サンタル 33","Santal 33","santal-33","0",""
"diptyque-1","Diptyque","タムダオ","","","2","nameEn|englishSlug"
"diptyque-2","Diptyque","オルフェオン","","","3","officialLink|nameEn|englishSlug"
"diptyque-3","Diptyque","フィロシコス","","","3","officialLink|nameEn|englishSlug"
"diptyque-4","Diptyque","ドソン","","","3","officialLink|nameEn|englishSlug"
"diptyque-5","Diptyque","フルール ドゥ ポー","","","3","officialLink|nameEn|englishSlug"
"byredo-1","Byredo","ジプシー ウォーター","","","2","nameEn|englishSlug"
"dunhill-1","Dunhill","アイコン","","","6","concentration|sizes|officialLink|sources|nameEn|englishSlug"
"dunhill-2","Dunhill","デザイア フォーメン","","","7","priceTier|displayedPrice|sizes|officialLink|sources|nameEn|englishSlug"
"prada-2","Prada","ルオム","","","2","nameEn|englishSlug"
"prada-3","Prada","ルナロッサ カーボン","","","3","officialLink|nameEn|englishSlug"
"prada-4","Prada","インフュージョン ディリス","","","3","officialLink|nameEn|englishSlug"
"prada-5","Prada","ルナ ロッサ オーシャン","","","4","officialLink|sources|nameEn|englishSlug"
"prada-6","Prada","ルナ ロッサ ブラック","","","4","officialLink|sources|nameEn|englishSlug"
"prada-7","Prada","ルオム インテンス","","","7","priceTier|displayedPrice|sizes|officialLink|sources|nameEn|englishSlug"
"montblanc-2","Montblanc","エクスプローラー","","","2","nameEn|englishSlug"
"jo-malone-4","Jo Malone","ウッドセージ & シーソルト","Wood Sage & Sea Salt Cologne","wood-sage-and-sea-salt-cologne","0",""
"jo-malone-5","Jo Malone","ミルラ & トンカ","","","4","officialLink|sources|nameEn|englishSlug"
"jo-malone-6","Jo Malone","ポメグラネート ノアール","","","7","priceTier|displayedPrice|sizes|officialLink|sources|nameEn|englishSlug"
"hugo-boss-1","Hugo Boss","ボス ボトルド","","","2","nameEn|englishSlug"
"hugo-boss-2","Hugo Boss","ボス ボトルド ナイト","","","4","officialLink|sources|nameEn|englishSlug"
"hugo-boss-3","Hugo Boss","ボス ボトルド インフィニット","","","4","officialLink|sources|nameEn|englishSlug"
