"slug","brand","product_name","score","priority","existing_english","selected_phase2","index_ready","official_source","official_link","concentration","sizes","notes_complete","release_year","family","scenes","seasons","editorial_guidance","verified_at","japan_purchasable","safe_link","rakuten_link","moshimo_link","official_price","rakuten_price","missing_required"
"chanel-2","Chanel","エゴイスト プラチナム","22","P1","no","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes",""
"chanel-3","Chanel","チャンス オー タンドゥル","22","P1","no","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes",""
"chanel-4","Chanel","ブルー ドゥ シャネル EDP","22","P1","no","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes",""
"chanel-6","Chanel","アンテウス","22","P1","no","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes",""
"dior-1","Dior","オー ソバージュ","22","P1","no","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes",""
"dior-3","Dior","ソヴァージュ EDP","22","P1","no","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes",""
"dior-4","Dior","ジャドール","22","P1","no","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes",""
"diptyque-1","Diptyque","タムダオ","22","P1","no","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes",""
"le-labo-2","Le Labo","アナザー 13","22","P1","no","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes",""
"dior-2","Dior","ソヴァージュ EDT","21","P1","yes","no","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","no",""
"chanel-5","Chanel","プール ムッシュ","20","P1","no","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","no","yes",""
"dior-5","Dior","ソヴァージュ エリクシール","20","P1","no","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","no","yes",""
"dior-6","Dior","ファーレンハイト","20","P1","no","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","no","yes",""
"jo-malone-1","Jo Malone","ライムバジル & マンダリン","20","P1","no","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","no","yes",""
